id,source_id,text,language,user_role,topic,sentiment,answer,route_to,preprocessing_version
157,8,عندي استفسار، كيف اضيف اسئلة عشوائية من بنك الاسئلة؟,ar,instructor,quiz_exam,neutral,افتح تحرير الاختبار ثم اختر إضافة سؤال عشوائي.,eLearning Support,1.0.0
153,8,كيف اضيف اسئلة عشوائية من بنك الاسئلة؟ ممكن تساعدوني؟,ar,instructor,quiz_exam,neutral,افتح تحرير الاختبار ثم اختر إضافة سؤال عشوائي.,eLearning Support,1.0.0
341,18,I need help. How do I add a virtual class to my course? Could you help me?,en,instructor,virtual_class,neutral,Turn editing on and add the available virtual classroom activity.,eLearning Support,1.0.0
353,18,"Hello, How do I add a virtual class to my course? in Moodle.",en,instructor,virtual_class,neutral,Turn editing on and add the available virtual classroom activity.,eLearning Support,1.0.0
82,5,لا يظهر لي زر تسليم الواجب ممكن تساعدوني؟,ar,student,assignment,negative,تحقق من موعد فتح الواجب وموعد الإغلاق، ثم تواصل مع مدرس المقرر.,Course Instructor,1.0.0
118,6,ممكن توضيح، كيف انشئ واجبا جديدا للطلاب؟ وشكرا,ar,instructor,assignment,neutral,فعّل وضع التحرير ثم اختر إضافة نشاط من نوع واجب.,eLearning Support,1.0.0
121,7,السلام عليكم، تم اغلاق الاختبار قبل اكمال المحاولة ممكن تساعدوني؟,ar,student,quiz_exam,negative,تحقق من وقت الاختبار ثم تواصل مباشرة مع مدرس المقرر.,Course Instructor,1.0.0
344,18,How do I add a virtual class to my course? What should I do?,en,instructor,virtual_class,neutral,Turn editing on and add the available virtual classroom activity.,eLearning Support,1.0.0
176,9,ممكن توضيح، اين استطيع مشاهدة درجاتي؟ وشكرا,ar,student,grades,neutral,افتح المقرر ثم اختر الدرجات من قائمة المقرر.,Course Instructor,1.0.0
145,8,السلام عليكم، كيف اضيف اسئلة عشوائية من بنك الاسئلة؟ وشكرا,ar,instructor,quiz_exam,neutral,افتح تحرير الاختبار ثم اختر إضافة سؤال عشوائي.,eLearning Support,1.0.0
361,19,"Please help, The Moodle page keeps loading without opening Thank you.",en,student,technical_problem,negative,Clear the browser cache and try another supported browser.,IT Support,1.0.0
21,2,كيف اعيد تعيين كلمة مرور حسابي؟ وشكرا,ar,student,login_access,neutral,اضغط على نسيت كلمة المرور واتبع التعليمات المرسلة إلى بريدك.,IT Support,1.0.0
267,14,Could you explain? How do I record student attendance? in Moodle.,en,instructor,attendance,neutral,"Open the Attendance activity, create a session, and record attendance.",eLearning Support,1.0.0
103,6,لو سمحت، كيف انشئ واجبا جديدا للطلاب؟ ما الحل؟,ar,instructor,assignment,neutral,فعّل وضع التحرير ثم اختر إضافة نشاط من نوع واجب.,eLearning Support,1.0.0
230,12,"Hello, How can I upload lecture slides? in Moodle.",en,instructor,course_content,neutral,Turn editing on and add a File resource to the course section.,eLearning Support,1.0.0
284,15,I have a question. I am not receiving course notifications What should I do?,en,student,notifications,negative,Check your Moodle notification preferences and registered email.,IT Support,1.0.0
280,14,Could you explain? How do I record student attendance? What should I do?,en,instructor,attendance,neutral,"Open the Attendance activity, create a session, and record attendance.",eLearning Support,1.0.0
211,11,I cannot download the lecture file Could you help me?,en,student,course_content,negative,Refresh the course page and verify that the resource is available.,eLearning Support,1.0.0
320,16,"Please help, How can I send an announcement to all students? Could you help me?",en,instructor,notifications,neutral,Post the message in the course Announcements forum.,eLearning Support,1.0.0
234,12,I need help. How can I upload lecture slides?,en,instructor,course_content,neutral,Turn editing on and add a File resource to the course section.,eLearning Support,1.0.0
207,11,I need help. I cannot download the lecture file What should I do?,en,student,course_content,negative,Refresh the course page and verify that the resource is available.,eLearning Support,1.0.0
78,4,لو سمحت، كيف اضيف طالبا الي مقرري؟ ممكن تساعدوني؟,ar,instructor,course_enrollment,neutral,افتح المشاركين ثم اختر تسجيل المستخدمين إذا كانت لديك الصلاحية.,eLearning Support,1.0.0
372,19,I need help. The Moodle page keeps loading without opening in Moodle.,en,student,technical_problem,negative,Clear the browser cache and try another supported browser.,IT Support,1.0.0
217,11,I have a question. I cannot download the lecture file,en,student,course_content,negative,Refresh the course page and verify that the resource is available.,eLearning Support,1.0.0
95,5,لا يظهر لي زر تسليم الواجب,ar,student,assignment,negative,تحقق من موعد فتح الواجب وموعد الإغلاق، ثم تواصل مع مدرس المقرر.,Course Instructor,1.0.0
71,4,السلام عليكم، كيف اضيف طالبا الي مقرري؟ ما الحل؟,ar,instructor,course_enrollment,neutral,افتح المشاركين ثم اختر تسجيل المستخدمين إذا كانت لديك الصلاحية.,eLearning Support,1.0.0
29,2,السلام عليكم، كيف اعيد تعيين كلمة مرور حسابي؟ ممكن تساعدوني؟,ar,student,login_access,neutral,اضغط على نسيت كلمة المرور واتبع التعليمات المرسلة إلى بريدك.,IT Support,1.0.0
24,2,احتاج مساعدة، كيف اعيد تعيين كلمة مرور حسابي؟ ممكن تساعدوني؟,ar,student,login_access,neutral,اضغط على نسيت كلمة المرور واتبع التعليمات المرسلة إلى بريدك.,IT Support,1.0.0
388,20,I need help. Students receive an error when opening the activity,en,instructor,technical_problem,negative,Review the activity restrictions and contact e-learning support.,eLearning Support,1.0.0
214,11,I have a question. I cannot download the lecture file Could you help me?,en,student,course_content,negative,Refresh the course page and verify that the resource is available.,eLearning Support,1.0.0
87,5,ممكن توضيح، لا يظهر لي زر تسليم الواجب,ar,student,assignment,negative,تحقق من موعد فتح الواجب وموعد الإغلاق، ثم تواصل مع مدرس المقرر.,Course Instructor,1.0.0
219,11,I have a question. I cannot download the lecture file What should I do?,en,student,course_content,negative,Refresh the course page and verify that the resource is available.,eLearning Support,1.0.0
107,6,كيف انشئ واجبا جديدا للطلاب؟ ما الحل؟,ar,instructor,assignment,neutral,فعّل وضع التحرير ثم اختر إضافة نشاط من نوع واجب.,eLearning Support,1.0.0
287,15,"Hello, I am not receiving course notifications What should I do?",en,student,notifications,negative,Check your Moodle notification preferences and registered email.,IT Support,1.0.0
62,4,ممكن توضيح، كيف اضيف طالبا الي مقرري؟ وشكرا,ar,instructor,course_enrollment,neutral,افتح المشاركين ثم اختر تسجيل المستخدمين إذا كانت لديك الصلاحية.,eLearning Support,1.0.0
232,12,How can I upload lecture slides? in Moodle.,en,instructor,course_content,neutral,Turn editing on and add a File resource to the course section.,eLearning Support,1.0.0
6,1,عندي استفسار، لا استطيع تسجيل الدخول الي مودل,ar,student,login_access,negative,استخدم خيار نسيت كلمة المرور أو تواصل مع الدعم التقني.,IT Support,1.0.0
42,3,احتاج مساعدة، لا يظهر لي مقرر معالجة اللغة الطبيعية ممكن تساعدوني؟,ar,student,course_enrollment,negative,تحقق من تسجيلك في المقرر، ثم تواصل مع القبول والتسجيل.,Registration Department,1.0.0
133,7,ممكن توضيح، تم اغلاق الاختبار قبل اكمال المحاولة وشكرا,ar,student,quiz_exam,negative,تحقق من وقت الاختبار ثم تواصل مباشرة مع مدرس المقرر.,Course Instructor,1.0.0
239,12,"Hello, How can I upload lecture slides?",en,instructor,course_content,neutral,Turn editing on and add a File resource to the course section.,eLearning Support,1.0.0
60,3,لو سمحت، لا يظهر لي مقرر معالجة اللغة الطبيعية في نظام مودل,ar,student,course_enrollment,negative,تحقق من تسجيلك في المقرر، ثم تواصل مع القبول والتسجيل.,Registration Department,1.0.0
134,7,عندي استفسار، تم اغلاق الاختبار قبل اكمال المحاولة وشكرا,ar,student,quiz_exam,negative,تحقق من وقت الاختبار ثم تواصل مباشرة مع مدرس المقرر.,Course Instructor,1.0.0
73,4,احتاج مساعدة، كيف اضيف طالبا الي مقرري؟ في نظام مودل,ar,instructor,course_enrollment,neutral,افتح المشاركين ثم اختر تسجيل المستخدمين إذا كانت لديك الصلاحية.,eLearning Support,1.0.0
23,2,لو سمحت، كيف اعيد تعيين كلمة مرور حسابي؟ ما الحل؟,ar,student,login_access,neutral,اضغط على نسيت كلمة المرور واتبع التعليمات المرسلة إلى بريدك.,IT Support,1.0.0
324,17,"Hello, The virtual classroom link does not open Could you help me?",en,student,virtual_class,negative,"Check the session time and allow pop-ups, then try the link again.",eLearning Support,1.0.0
81,5,احتاج مساعدة، لا يظهر لي زر تسليم الواجب ممكن تساعدوني؟,ar,student,assignment,negative,تحقق من موعد فتح الواجب وموعد الإغلاق، ثم تواصل مع مدرس المقرر.,Course Instructor,1.0.0
266,14,I need help. How do I record student attendance? What should I do?,en,instructor,attendance,neutral,"Open the Attendance activity, create a session, and record attendance.",eLearning Support,1.0.0
182,10,السلام عليكم، درجات الاختبار غير ظاهرة للطلاب في نظام مودل,ar,instructor,grades,negative,راجع إعدادات خيارات المراجعة وإعدادات إظهار عنصر الدرجة.,eLearning Support,1.0.0
30,2,السلام عليكم، كيف اعيد تعيين كلمة مرور حسابي؟ وشكرا,ar,student,login_access,neutral,اضغط على نسيت كلمة المرور واتبع التعليمات المرسلة إلى بريدك.,IT Support,1.0.0
392,20,I need help. Students receive an error when opening the activity Thank you.,en,instructor,technical_problem,negative,Review the activity restrictions and contact e-learning support.,eLearning Support,1.0.0
398,20,Could you explain? Students receive an error when opening the activity in Moodle.,en,instructor,technical_problem,negative,Review the activity restrictions and contact e-learning support.,eLearning Support,1.0.0
329,17,I need help. The virtual classroom link does not open,en,student,virtual_class,negative,"Check the session time and allow pop-ups, then try the link again.",eLearning Support,1.0.0
262,14,"Hello, How do I record student attendance? in Moodle.",en,instructor,attendance,neutral,"Open the Attendance activity, create a session, and record attendance.",eLearning Support,1.0.0
55,3,ممكن توضيح، لا يظهر لي مقرر معالجة اللغة الطبيعية في نظام مودل,ar,student,course_enrollment,negative,تحقق من تسجيلك في المقرر، ثم تواصل مع القبول والتسجيل.,Registration Department,1.0.0
130,7,السلام عليكم، تم اغلاق الاختبار قبل اكمال المحاولة وشكرا,ar,student,quiz_exam,negative,تحقق من وقت الاختبار ثم تواصل مباشرة مع مدرس المقرر.,Course Instructor,1.0.0
301,16,"Please help, How can I send an announcement to all students? in Moodle.",en,instructor,notifications,neutral,Post the message in the course Announcements forum.,eLearning Support,1.0.0
169,9,احتاج مساعدة، اين استطيع مشاهدة درجاتي؟ ممكن تساعدوني؟,ar,student,grades,neutral,افتح المقرر ثم اختر الدرجات من قائمة المقرر.,Course Instructor,1.0.0
3,1,لا استطيع تسجيل الدخول الي مودل ما الحل؟,ar,student,login_access,negative,استخدم خيار نسيت كلمة المرور أو تواصل مع الدعم التقني.,IT Support,1.0.0
371,19,Could you explain? The Moodle page keeps loading without opening Thank you.,en,student,technical_problem,negative,Clear the browser cache and try another supported browser.,IT Support,1.0.0
215,11,I have a question. I cannot download the lecture file Thank you.,en,student,course_content,negative,Refresh the course page and verify that the resource is available.,eLearning Support,1.0.0
197,10,احتاج مساعدة، درجات الاختبار غير ظاهرة للطلاب وشكرا,ar,instructor,grades,negative,راجع إعدادات خيارات المراجعة وإعدادات إظهار عنصر الدرجة.,eLearning Support,1.0.0
188,10,درجات الاختبار غير ظاهرة للطلاب,ar,instructor,grades,negative,راجع إعدادات خيارات المراجعة وإعدادات إظهار عنصر الدرجة.,eLearning Support,1.0.0
349,18,I need help. How do I add a virtual class to my course?,en,instructor,virtual_class,neutral,Turn editing on and add the available virtual classroom activity.,eLearning Support,1.0.0
390,20,Could you explain? Students receive an error when opening the activity Could you help me?,en,instructor,technical_problem,negative,Review the activity restrictions and contact e-learning support.,eLearning Support,1.0.0
227,12,"Please help, How can I upload lecture slides? Thank you.",en,instructor,course_content,neutral,Turn editing on and add a File resource to the course section.,eLearning Support,1.0.0
7,1,لو سمحت، لا استطيع تسجيل الدخول الي مودل,ar,student,login_access,negative,استخدم خيار نسيت كلمة المرور أو تواصل مع الدعم التقني.,IT Support,1.0.0
209,11,I need help. I cannot download the lecture file,en,student,course_content,negative,Refresh the course page and verify that the resource is available.,eLearning Support,1.0.0
347,18,I have a question. How do I add a virtual class to my course? Could you help me?,en,instructor,virtual_class,neutral,Turn editing on and add the available virtual classroom activity.,eLearning Support,1.0.0
351,18,Could you explain? How do I add a virtual class to my course? What should I do?,en,instructor,virtual_class,neutral,Turn editing on and add the available virtual classroom activity.,eLearning Support,1.0.0
150,8,احتاج مساعدة، كيف اضيف اسئلة عشوائية من بنك الاسئلة؟ في نظام مودل,ar,instructor,quiz_exam,neutral,افتح تحرير الاختبار ثم اختر إضافة سؤال عشوائي.,eLearning Support,1.0.0
99,5,ممكن توضيح، لا يظهر لي زر تسليم الواجب في نظام مودل,ar,student,assignment,negative,تحقق من موعد فتح الواجب وموعد الإغلاق، ثم تواصل مع مدرس المقرر.,Course Instructor,1.0.0
146,8,ممكن توضيح، كيف اضيف اسئلة عشوائية من بنك الاسئلة؟ في نظام مودل,ar,instructor,quiz_exam,neutral,افتح تحرير الاختبار ثم اختر إضافة سؤال عشوائي.,eLearning Support,1.0.0
326,17,The virtual classroom link does not open What should I do?,en,student,virtual_class,negative,"Check the session time and allow pop-ups, then try the link again.",eLearning Support,1.0.0
131,7,تم اغلاق الاختبار قبل اكمال المحاولة,ar,student,quiz_exam,negative,تحقق من وقت الاختبار ثم تواصل مباشرة مع مدرس المقرر.,Course Instructor,1.0.0
325,17,I need help. The virtual classroom link does not open Could you help me?,en,student,virtual_class,negative,"Check the session time and allow pop-ups, then try the link again.",eLearning Support,1.0.0
213,11,"Hello, I cannot download the lecture file",en,student,course_content,negative,Refresh the course page and verify that the resource is available.,eLearning Support,1.0.0
373,19,I need help. The Moodle page keeps loading without opening,en,student,technical_problem,negative,Clear the browser cache and try another supported browser.,IT Support,1.0.0
340,17,Could you explain? The virtual classroom link does not open in Moodle.,en,student,virtual_class,negative,"Check the session time and allow pop-ups, then try the link again.",eLearning Support,1.0.0
393,20,I need help. Students receive an error when opening the activity What should I do?,en,instructor,technical_problem,negative,Review the activity restrictions and contact e-learning support.,eLearning Support,1.0.0
156,8,كيف اضيف اسئلة عشوائية من بنك الاسئلة؟,ar,instructor,quiz_exam,neutral,افتح تحرير الاختبار ثم اختر إضافة سؤال عشوائي.,eLearning Support,1.0.0
45,3,لا يظهر لي مقرر معالجة اللغة الطبيعية,ar,student,course_enrollment,negative,تحقق من تسجيلك في المقرر، ثم تواصل مع القبول والتسجيل.,Registration Department,1.0.0
199,10,احتاج مساعدة، درجات الاختبار غير ظاهرة للطلاب,ar,instructor,grades,negative,راجع إعدادات خيارات المراجعة وإعدادات إظهار عنصر الدرجة.,eLearning Support,1.0.0
170,9,السلام عليكم، اين استطيع مشاهدة درجاتي؟ ممكن تساعدوني؟,ar,student,grades,neutral,افتح المقرر ثم اختر الدرجات من قائمة المقرر.,Course Instructor,1.0.0
374,19,Could you explain? The Moodle page keeps loading without opening in Moodle.,en,student,technical_problem,negative,Clear the browser cache and try another supported browser.,IT Support,1.0.0
376,19,I need help. The Moodle page keeps loading without opening Could you help me?,en,student,technical_problem,negative,Clear the browser cache and try another supported browser.,IT Support,1.0.0
128,7,عندي استفسار، تم اغلاق الاختبار قبل اكمال المحاولة ممكن تساعدوني؟,ar,student,quiz_exam,negative,تحقق من وقت الاختبار ثم تواصل مباشرة مع مدرس المقرر.,Course Instructor,1.0.0
206,11,I need help. I cannot download the lecture file Could you help me?,en,student,course_content,negative,Refresh the course page and verify that the resource is available.,eLearning Support,1.0.0
265,14,How do I record student attendance?,en,instructor,attendance,neutral,"Open the Attendance activity, create a session, and record attendance.",eLearning Support,1.0.0
162,9,ممكن توضيح، اين استطيع مشاهدة درجاتي؟ في نظام مودل,ar,student,grades,neutral,افتح المقرر ثم اختر الدرجات من قائمة المقرر.,Course Instructor,1.0.0
250,13,Could you explain? My attendance status is incorrect Thank you.,en,student,attendance,negative,Contact the course instructor and provide the attendance date.,Course Instructor,1.0.0
75,4,احتاج مساعدة، كيف اضيف طالبا الي مقرري؟ وشكرا,ar,instructor,course_enrollment,neutral,افتح المشاركين ثم اختر تسجيل المستخدمين إذا كانت لديك الصلاحية.,eLearning Support,1.0.0
11,1,ممكن توضيح، لا استطيع تسجيل الدخول الي مودل ممكن تساعدوني؟,ar,student,login_access,negative,استخدم خيار نسيت كلمة المرور أو تواصل مع الدعم التقني.,IT Support,1.0.0
32,2,كيف اعيد تعيين كلمة مرور حسابي؟ في نظام مودل,ar,student,login_access,neutral,اضغط على نسيت كلمة المرور واتبع التعليمات المرسلة إلى بريدك.,IT Support,1.0.0
309,16,"Please help, How can I send an announcement to all students? What should I do?",en,instructor,notifications,neutral,Post the message in the course Announcements forum.,eLearning Support,1.0.0
253,13,My attendance status is incorrect Could you help me?,en,student,attendance,negative,Contact the course instructor and provide the attendance date.,Course Instructor,1.0.0
256,13,Could you explain? My attendance status is incorrect What should I do?,en,student,attendance,negative,Contact the course instructor and provide the attendance date.,Course Instructor,1.0.0
220,11,Could you explain? I cannot download the lecture file Thank you.,en,student,course_content,negative,Refresh the course page and verify that the resource is available.,eLearning Support,1.0.0
226,12,"Hello, How can I upload lecture slides? Thank you.",en,instructor,course_content,neutral,Turn editing on and add a File resource to the course section.,eLearning Support,1.0.0
231,12,I have a question. How can I upload lecture slides? What should I do?,en,instructor,course_content,neutral,Turn editing on and add a File resource to the course section.,eLearning Support,1.0.0
117,6,ممكن توضيح، كيف انشئ واجبا جديدا للطلاب؟ في نظام مودل,ar,instructor,assignment,neutral,فعّل وضع التحرير ثم اختر إضافة نشاط من نوع واجب.,eLearning Support,1.0.0
308,16,Could you explain? How can I send an announcement to all students? in Moodle.,en,instructor,notifications,neutral,Post the message in the course Announcements forum.,eLearning Support,1.0.0
338,17,"Hello, The virtual classroom link does not open in Moodle.",en,student,virtual_class,negative,"Check the session time and allow pop-ups, then try the link again.",eLearning Support,1.0.0
377,19,The Moodle page keeps loading without opening Could you help me?,en,student,technical_problem,negative,Clear the browser cache and try another supported browser.,IT Support,1.0.0
148,8,ممكن توضيح، كيف اضيف اسئلة عشوائية من بنك الاسئلة؟,ar,instructor,quiz_exam,neutral,افتح تحرير الاختبار ثم اختر إضافة سؤال عشوائي.,eLearning Support,1.0.0
8,1,لا استطيع تسجيل الدخول الي مودل ممكن تساعدوني؟,ar,student,login_access,negative,استخدم خيار نسيت كلمة المرور أو تواصل مع الدعم التقني.,IT Support,1.0.0
218,11,"Hello, I cannot download the lecture file in Moodle.",en,student,course_content,negative,Refresh the course page and verify that the resource is available.,eLearning Support,1.0.0
180,9,ممكن توضيح، اين استطيع مشاهدة درجاتي؟ ممكن تساعدوني؟,ar,student,grades,neutral,افتح المقرر ثم اختر الدرجات من قائمة المقرر.,Course Instructor,1.0.0
106,6,عندي استفسار، كيف انشئ واجبا جديدا للطلاب؟,ar,instructor,assignment,neutral,فعّل وضع التحرير ثم اختر إضافة نشاط من نوع واجب.,eLearning Support,1.0.0
203,11,"Please help, I cannot download the lecture file Could you help me?",en,student,course_content,negative,Refresh the course page and verify that the resource is available.,eLearning Support,1.0.0
90,5,عندي استفسار، لا يظهر لي زر تسليم الواجب ما الحل؟,ar,student,assignment,negative,تحقق من موعد فتح الواجب وموعد الإغلاق، ثم تواصل مع مدرس المقرر.,Course Instructor,1.0.0
283,15,I am not receiving course notifications What should I do?,en,student,notifications,negative,Check your Moodle notification preferences and registered email.,IT Support,1.0.0
105,6,عندي استفسار، كيف انشئ واجبا جديدا للطلاب؟ ما الحل؟,ar,instructor,assignment,neutral,فعّل وضع التحرير ثم اختر إضافة نشاط من نوع واجب.,eLearning Support,1.0.0
